field_id,field_url,field_type
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0001/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0002/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0003/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0004/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0005/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0006/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0007/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0008/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0009/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0010/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0011/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0012/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0013/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0014/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0015/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0016/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0017/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0018/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0019/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0020/info.json,iiif
