field_id,field_url,field_type
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0056/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0057/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0058/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0059/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0060/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0061/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0062/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0063/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0064/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0065/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0066/info.json,iiif
